epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.7719,2.83528,4.52696,2.05555,0.00381,0.96,0.00808,0.00249,2.28089,3.57423,1.59923,0.00012,0.00012,0.00012
2,3.78057,1.83817,3.70763,1.44094,0.00397,1,0.50848,0.15119,1.9533,3.59921,1.47139,0.000259485,0.000259485,0.000259485
3,4.79594,1.8134,2.86582,1.40458,0.00397,1,0.61355,0.19811,1.71346,3.45823,1.44155,0.000398416,0.000398416,0.000398416
4,5.78452,1.64376,2.37086,1.36158,0.00397,1,0.49567,0.14144,1.43031,3.31958,1.31501,0.000536792,0.000536792,0.000536792
5,6.77535,1.73576,2.19697,1.40686,0.00397,1,0.11482,0.04668,1.49932,3.48058,1.39432,0.000674614,0.000674614,0.000674614
6,7.76304,1.76748,2.49408,1.50952,0.00397,1,0.07147,0.0167,1.49176,3.41066,1.40778,0.000811882,0.000811882,0.000811882
7,8.74564,1.68324,2.22333,1.50365,0.00397,1,0.07778,0.02441,1.66824,3.32768,1.5272,0.000948595,0.000948595,0.000948595
8,9.70857,1.69119,2.03259,1.41168,0.00397,1,0.46047,0.24228,1.77094,3.21838,1.64821,0.00108475,0.00108475,0.00108475
9,10.6946,1.72286,1.98277,1.45777,0.6337,0.41578,0.50385,0.26685,1.73312,3.23861,1.59912,0.00122036,0.00122036,0.00122036
10,11.706,1.69754,1.88052,1.37493,0.76512,0.1321,0.60763,0.27537,1.87628,3.06884,1.64238,0.00135541,0.00135541,0.00135541
11,12.7141,1.73898,2.02963,1.45698,0.80854,0.50734,0.62822,0.30783,1.7855,2.98873,1.54629,0.0014899,0.0014899,0.0014899
12,13.6899,1.66668,1.78242,1.41429,0.19833,0.24,0.09403,0.0366,2.04992,3.20906,1.73248,0.00162385,0.00162385,0.00162385
13,14.6409,1.65772,1.92867,1.45119,0.11023,0.10934,0.02333,0.0077,2.13196,3.98722,1.98464,0.00175723,0.00175723,0.00175723
14,15.6317,1.66986,1.79438,1.38286,0.53536,0.32,0.36761,0.1672,1.83621,2.79648,1.60763,0.00189006,0.00189006,0.00189006
15,16.6132,1.59069,1.62682,1.3784,0.87177,0.81622,0.87646,0.42063,1.75728,1.96382,1.60773,0.00194456,0.00194456,0.00194456
16,17.5761,1.62292,1.53786,1.34407,0.81795,0.72,0.80163,0.35189,1.86634,2.19202,1.67586,0.0019406,0.0019406,0.0019406
17,18.5254,1.61346,1.67249,1.38907,0.59886,0.32,0.32034,0.12249,2.1715,3.00044,2.09714,0.00193664,0.00193664,0.00193664
18,19.4843,1.56705,1.58714,1.33437,0.59055,0.32,0.40986,0.1512,1.97322,2.90433,1.8206,0.00193268,0.00193268,0.00193268
19,20.443,1.61178,1.56455,1.35756,0.01536,0.52,0.01508,0.00593,2.07047,8.20664,1.9783,0.00192872,0.00192872,0.00192872
20,21.398,1.59565,1.55788,1.37829,0.02409,0.56,0.0213,0.00972,1.96549,9.00228,1.79121,0.00192476,0.00192476,0.00192476
21,22.348,1.70229,1.56476,1.38125,0.04994,0.4,0.04032,0.01789,1.8627,6.16041,1.72128,0.0019208,0.0019208,0.0019208
22,23.3103,1.53971,1.42622,1.29116,0.65979,0.44,0.38949,0.12271,2.03836,2.95449,1.74918,0.00191684,0.00191684,0.00191684
23,24.2742,1.61542,1.41722,1.3112,0.6032,0.48,0.49537,0.19844,1.8803,2.34402,1.71473,0.00191288,0.00191288,0.00191288
24,25.243,1.49968,1.45474,1.28383,0.82133,0.73592,0.72097,0.29338,1.9341,1.94808,1.67009,0.00190892,0.00190892,0.00190892
25,26.1984,1.52629,1.34062,1.34218,0.79835,0.79207,0.74031,0.31007,1.92888,2.00393,1.65826,0.00190496,0.00190496,0.00190496
26,27.1621,1.6244,1.37404,1.35893,0.76925,0.92,0.87302,0.35432,1.7619,1.8761,1.63883,0.001901,0.001901,0.001901
27,28.1295,1.43901,1.29564,1.29078,0.73838,0.92,0.84945,0.35949,1.66239,1.49095,1.54075,0.00189704,0.00189704,0.00189704
28,29.0937,1.51255,1.30465,1.31415,0.64789,0.8,0.76783,0.37055,1.7598,1.46757,1.60594,0.00189308,0.00189308,0.00189308
29,30.0507,1.58631,1.34145,1.34227,0.71767,0.72,0.72097,0.31635,1.7659,1.43059,1.66866,0.00188912,0.00188912,0.00188912
30,31.0109,1.554,1.29072,1.3423,0.76853,0.88,0.85034,0.36044,1.811,1.23779,1.64269,0.00188516,0.00188516,0.00188516
