epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.13701,2.20984,3.82564,1.26602,0.00484,0.88333,0.01664,0.00654,1.595,4.05672,1.06436,0.00042,0.00042,0.00042
2,7.44608,1.74167,2.06356,1.15286,0.00416,0.75833,0.00737,0.00251,1.65888,4.04679,1.14904,0.000858297,0.000858297,0.000858297
3,10.6816,1.75841,1.81296,1.1567,0.00466,0.85,0.00709,0.00343,1.52359,3.66635,1.12865,0.00129485,0.00129485,0.00129485
4,13.9531,1.74863,1.61775,1.1477,0.95659,0.36731,0.8198,0.36322,1.81001,2.84463,1.26163,0.00172966,0.00172966,0.00172966
5,17.3763,1.76081,1.49438,1.14897,0.88916,0.73537,0.88036,0.41559,1.67799,2.11671,1.23402,0.00198416,0.00198416,0.00198416
6,20.7931,1.53659,1.34935,1.08606,0.91741,0.875,0.95414,0.48408,1.63535,1.36634,1.2411,0.0019802,0.0019802,0.0019802
7,24.1958,1.62541,1.23885,1.10931,0.85543,0.88756,0.87813,0.4103,1.69663,1.15073,1.16169,0.00197624,0.00197624,0.00197624
8,27.5114,1.57207,1.1345,1.08716,0.88755,0.93333,0.93538,0.43947,1.6344,1.05164,1.1388,0.00197228,0.00197228,0.00197228
9,30.8482,1.66139,1.20754,1.10971,0.91786,0.90833,0.9616,0.48682,1.55621,1.0147,1.09456,0.00196832,0.00196832,0.00196832
10,33.9128,1.51887,1.02388,1.07108,0.93693,0.925,0.95172,0.50455,1.56885,0.90799,1.13532,0.00196436,0.00196436,0.00196436
11,37.1552,1.50886,0.99775,1.09258,0.94056,0.92303,0.97025,0.52692,1.56861,0.89682,1.12487,0.0019604,0.0019604,0.0019604
12,40.627,1.49988,0.96372,1.04606,0.8802,0.91667,0.94681,0.50568,1.58984,0.90674,1.15527,0.00195644,0.00195644,0.00195644
13,43.7172,1.56169,0.9601,1.07763,0.94457,0.925,0.96969,0.51097,1.54183,0.90679,1.10706,0.00195248,0.00195248,0.00195248
14,46.8175,1.53128,0.90601,1.05282,0.92705,0.95317,0.96406,0.48996,1.6066,0.99505,1.16022,0.00194852,0.00194852,0.00194852
15,49.863,1.48986,0.87848,1.04813,0.93867,0.93333,0.97157,0.52806,1.5185,0.9047,1.11412,0.00194456,0.00194456,0.00194456
16,52.9347,1.48906,0.89088,1.05204,0.92506,0.92574,0.96174,0.48961,1.59054,0.85844,1.11394,0.0019406,0.0019406,0.0019406
17,56.0026,1.45033,0.83072,1.03782,0.9354,0.96532,0.96377,0.51963,1.52041,0.80117,1.09819,0.00193664,0.00193664,0.00193664
18,59.0669,1.53596,0.85877,1.04195,0.92496,0.90833,0.96271,0.51059,1.56029,0.90914,1.14138,0.00193268,0.00193268,0.00193268
19,62.1488,1.50688,0.84939,1.04226,0.92137,0.97654,0.97161,0.53927,1.55957,0.85505,1.10857,0.00192872,0.00192872,0.00192872
20,65.5086,1.51151,0.84687,1.06925,0.90628,0.96696,0.96387,0.53558,1.49533,0.88213,1.05523,0.00192476,0.00192476,0.00192476
21,68.6759,1.44819,0.78895,1.01844,0.95529,0.95833,0.97361,0.55525,1.39562,0.76478,1.04808,0.0019208,0.0019208,0.0019208
22,71.8389,1.42807,0.76315,1.02365,0.94489,0.98333,0.98325,0.56404,1.49464,0.74806,1.07116,0.00191684,0.00191684,0.00191684
23,74.98,1.41951,0.78257,1.04953,0.93921,0.95833,0.97676,0.5176,1.53831,0.82525,1.08504,0.00191288,0.00191288,0.00191288
24,78.1179,1.44957,0.7888,1.0314,0.91894,0.90833,0.96351,0.47501,1.69238,0.84119,1.15002,0.00190892,0.00190892,0.00190892
25,81.254,1.44213,0.80022,1.03109,0.90878,0.99167,0.98022,0.52049,1.4949,0.80701,1.06747,0.00190496,0.00190496,0.00190496
26,84.4012,1.47575,0.78794,1.03327,0.92899,0.96667,0.9774,0.54936,1.42218,0.77654,1.05041,0.001901,0.001901,0.001901
27,87.5376,1.41484,0.75188,1.01317,0.92811,0.96834,0.97417,0.51411,1.5794,0.80669,1.12606,0.00189704,0.00189704,0.00189704
28,90.7016,1.47524,0.75769,1.02837,0.92207,0.94167,0.96724,0.53737,1.49036,0.80934,1.07037,0.00189308,0.00189308,0.00189308
29,93.8506,1.42981,0.76573,1.01268,0.92812,0.96839,0.97094,0.54598,1.48629,0.7702,1.09719,0.00188912,0.00188912,0.00188912
30,96.9988,1.42897,0.74026,1.02463,0.91242,0.98333,0.97626,0.55504,1.50126,0.72151,1.07249,0.00188516,0.00188516,0.00188516
31,100.128,1.44237,0.7375,0.99556,0.94346,0.975,0.97119,0.53773,1.55369,0.79093,1.10079,0.0018812,0.0018812,0.0018812
32,103.283,1.42836,0.74235,1.01744,0.94331,0.98333,0.96091,0.54078,1.50014,0.76842,1.0805,0.00187724,0.00187724,0.00187724
33,106.416,1.38987,0.73005,1.03265,0.94401,0.95,0.97144,0.52409,1.53439,0.75654,1.1151,0.00187328,0.00187328,0.00187328
34,109.566,1.408,0.70729,1.01869,0.948,0.96667,0.97562,0.54244,1.51762,0.7294,1.10049,0.00186932,0.00186932,0.00186932
35,112.698,1.39657,0.73033,1.01555,0.95031,0.95618,0.97975,0.53368,1.48021,0.73931,1.07129,0.00186536,0.00186536,0.00186536
36,115.844,1.39214,0.70285,1.00765,0.93534,0.96443,0.97907,0.51574,1.53192,0.78881,1.10078,0.0018614,0.0018614,0.0018614
37,118.961,1.4346,0.72158,1.02054,0.94991,0.96667,0.97675,0.54623,1.48561,0.75167,1.09187,0.00185744,0.00185744,0.00185744
38,122.342,1.42159,0.71585,1.02003,0.94985,0.94695,0.98061,0.56328,1.49298,0.72181,1.10126,0.00185348,0.00185348,0.00185348
39,125.462,1.36919,0.6663,0.99715,0.94306,0.96607,0.97332,0.52093,1.60453,0.74244,1.10997,0.00184952,0.00184952,0.00184952
40,128.615,1.46347,0.71661,1.02236,0.93626,0.97923,0.97634,0.52589,1.54216,0.77745,1.0804,0.00184556,0.00184556,0.00184556
41,131.726,1.37014,0.67593,1.00946,0.95042,0.95849,0.97172,0.54895,1.44849,0.73694,1.02333,0.0018416,0.0018416,0.0018416
42,135.02,1.36508,0.70776,1.01141,0.94208,0.94874,0.96981,0.55067,1.51623,0.76239,1.06714,0.00183764,0.00183764,0.00183764
43,138.526,1.41618,0.73257,1.00115,0.9264,0.94402,0.96958,0.53512,1.51531,0.82829,1.09499,0.00183368,0.00183368,0.00183368
44,142.054,1.40796,0.7104,1.02504,0.95043,0.95874,0.97036,0.56102,1.47626,0.73,1.11062,0.00182972,0.00182972,0.00182972
45,145.736,1.41876,0.70647,1.0292,0.94419,0.91667,0.96378,0.53789,1.52195,0.78281,1.07312,0.00182576,0.00182576,0.00182576
46,149.348,1.3917,0.70299,1.02023,0.94334,0.975,0.97018,0.55755,1.46371,0.74712,1.06272,0.0018218,0.0018218,0.0018218
47,152.931,1.38493,0.70429,1.00014,0.95642,0.975,0.9796,0.54762,1.4665,0.71912,1.06154,0.00181784,0.00181784,0.00181784
48,157.039,1.3808,0.68076,1.01592,0.96812,0.96667,0.98038,0.55376,1.50788,0.74754,1.07552,0.00181388,0.00181388,0.00181388
49,160.768,1.35368,0.68025,0.98691,0.9506,0.96224,0.96966,0.54846,1.48076,0.7446,1.05266,0.00180992,0.00180992,0.00180992
50,164.364,1.38621,0.6844,0.99211,0.9423,0.95264,0.97118,0.57542,1.53161,0.74317,1.10567,0.00180596,0.00180596,0.00180596
51,167.963,1.35561,0.68497,1.03094,0.93348,0.95833,0.97236,0.57429,1.49096,0.69423,1.09618,0.001802,0.001802,0.001802
52,171.58,1.37922,0.68293,0.99625,0.9179,0.96667,0.9716,0.54202,1.50139,0.72852,1.09108,0.00179804,0.00179804,0.00179804
53,175.518,1.35448,0.66631,0.9977,0.9327,0.95833,0.97443,0.53997,1.56391,0.70231,1.0895,0.00179408,0.00179408,0.00179408
54,179.178,1.36478,0.68176,0.98797,0.9282,0.96667,0.97586,0.55063,1.51936,0.7114,1.06514,0.00179012,0.00179012,0.00179012
55,182.755,1.35965,0.65156,0.99852,0.93684,0.93333,0.97098,0.56742,1.45021,0.70259,1.04,0.00178616,0.00178616,0.00178616
56,186.367,1.41881,0.67505,0.99203,0.94643,0.975,0.97652,0.5285,1.52369,0.73895,1.05774,0.0017822,0.0017822,0.0017822
57,189.945,1.36122,0.64447,0.99412,0.95105,0.98333,0.98322,0.5319,1.50675,0.70636,1.04452,0.00177824,0.00177824,0.00177824
58,193.55,1.39115,0.67157,0.99778,0.94042,0.94167,0.97643,0.56151,1.46434,0.75682,1.05848,0.00177428,0.00177428,0.00177428
59,197.964,1.36472,0.66028,1.00276,0.94303,0.96556,0.97765,0.53747,1.5267,0.70122,1.08468,0.00177032,0.00177032,0.00177032
60,201.577,1.31566,0.65042,0.99223,0.92864,0.97608,0.98254,0.57853,1.479,0.71905,1.08342,0.00176636,0.00176636,0.00176636
61,205.144,1.35878,0.64176,0.99155,0.94394,0.98228,0.97918,0.58198,1.40301,0.66827,1.03672,0.0017624,0.0017624,0.0017624
62,208.747,1.35831,0.65863,0.99074,0.93645,0.98333,0.97837,0.56153,1.55314,0.69046,1.11449,0.00175844,0.00175844,0.00175844
63,212.33,1.36637,0.6471,0.99409,0.93026,0.975,0.97646,0.57222,1.52235,0.68426,1.1142,0.00175448,0.00175448,0.00175448
64,215.922,1.33358,0.63807,0.98499,0.94487,0.93333,0.96976,0.52764,1.52144,0.71469,1.11588,0.00175052,0.00175052,0.00175052
65,219.476,1.35664,0.65485,0.99213,0.90754,0.95833,0.97297,0.54835,1.49419,0.82445,1.08154,0.00174656,0.00174656,0.00174656
66,223.043,1.31373,0.65984,0.98311,0.9463,0.93333,0.95989,0.53023,1.53118,0.87218,1.12998,0.0017426,0.0017426,0.0017426
